period_start,period,purchase_bid,sell_bid,mcv,mcp,final_scheduled_volume
2026-02-06 00:45:00,00:45 - 01:00,15105.8,33985.5,8649.9,2691.81,8649.9
2026-02-06 01:00:00,01:00 - 01:15,15383.3,33755.1,8933.18,2691.44,8933.18
2026-02-06 01:15:00,01:15 - 01:30,15345.8,34004.4,8890.85,2691.62,8890.85
2026-02-06 01:30:00,01:30 - 01:45,15140.5,34133.2,8725.2,2630.75,8725.2
2026-02-06 01:45:00,01:45 - 02:00,15042.7,34325.5,8899.96,2600.43,8899.96
2026-02-06 02:00:00,02:00 - 02:15,15071.7,34828.7,9062.66,2599.46,9062.66
2026-02-06 02:15:00,02:15 - 02:30,15388.8,35177.5,9371.82,2572.44,9371.82
2026-02-06 02:30:00,02:30 - 02:45,15550.2,35589.1,9751.91,2519.89,9751.91
2026-02-06 02:45:00,02:45 - 03:00,15638.1,35686.5,9848.73,2519.27,9848.73
2026-02-06 03:00:00,03:00 - 03:15,15691.0,35622.1,9893.91,2519.7,9893.91
2026-02-06 03:15:00,03:15 - 03:30,15670.0,35628.6,9878.51,2519.63,9878.51
2026-02-06 03:30:00,03:30 - 03:45,15725.5,35646.6,9931.25,2540.06,9931.25
2026-02-06 03:45:00,03:45 - 04:00,15816.9,35566.3,9849.11,2550.5,9849.11
2026-02-06 04:00:00,04:00 - 04:15,15760.3,35613.6,9807.5,2544.46,9807.5
2026-02-06 04:15:00,04:15 - 04:30,14866.7,34569.7,9117.3,2510.96,9117.3
2026-02-06 04:30:00,04:30 - 04:45,14937.1,33467.7,8786.2,2600.79,8786.2
2026-02-06 04:45:00,04:45 - 05:00,14750.0,32815.0,8443.4,2610.81,8443.4
2026-02-06 05:00:00,05:00 - 05:15,14157.9,29038.7,7970.0,2691.59,7970.0
2026-02-06 05:15:00,05:15 - 05:30,14173.0,27110.6,8065.2,2960.29,8065.2
2026-02-06 05:30:00,05:30 - 05:45,15168.8,23520.1,7775.9,3185.85,7775.9
2026-02-06 05:45:00,05:45 - 06:00,15744.4,21584.6,7734.5,3320.44,7734.5
2026-02-06 06:00:00,06:00 - 06:15,15739.5,18955.3,7769.3,3449.01,7769.3
2026-02-06 06:15:00,06:15 - 06:30,16405.1,16446.8,8389.9,3600.73,8389.9
2026-02-06 06:30:00,06:30 - 06:45,18463.6,14420.2,8670.6,4200.17,8670.6
2026-02-06 06:45:00,06:45 - 07:00,19971.2,14474.1,9446.69,4300.32,9446.69
2026-02-06 07:00:00,07:00 - 07:15,21977.9,16038.9,11684.5,4959.91,11684.5
2026-02-06 07:15:00,07:15 - 07:30,24360.0,15154.2,12076.0,7100.17,12076.0
2026-02-06 07:30:00,07:30 - 07:45,25814.8,15556.0,12679.0,9000.31,12679.0
2026-02-06 07:45:00,07:45 - 08:00,25452.4,15722.2,12854.2,9000.11,12854.2
2026-02-06 08:00:00,08:00 - 08:15,24460.9,17265.2,13149.4,4999.61,13149.4
2026-02-06 08:15:00,08:15 - 08:30,23775.4,18488.4,13174.5,4364.98,13174.5
2026-02-06 08:30:00,08:30 - 08:45,23502.9,19773.6,12837.6,4190.66,12837.6
2026-02-06 08:45:00,08:45 - 09:00,22567.5,20415.9,12212.74,3932.27,12212.74
2026-02-06 09:00:00,09:00 - 09:15,22046.6,21848.6,13558.89,3600.47,13558.89
2026-02-06 09:15:00,09:15 - 09:30,20911.5,23564.6,12955.6,3270.56,12955.6
2026-02-06 09:30:00,09:30 - 09:45,19878.0,24556.1,12103.5,2856.56,12103.5
2026-02-06 09:45:00,09:45 - 10:00,19295.6,25062.2,12072.5,2540.35,12072.5
